,Movie_ID,Review,Rating,Rate
405,405," even though i saw the twist and the plot strands coming fairly early on this will still a great riveting drama and daniel was amazing

just watch it
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,5
406,406," but mostly a splendid satirical pill for mrjpeeles disappointment that his favorite hero which he used to impersonate in his youth: entered that house twice actually and got out quite white brained people of flint know better in russia you wouldve got the umbrella but in the land of the free youve just got an oscar get outta here bro lol
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
407,407," this is not just an overrated movie this is a terrible movie lets get that straight first and foremost

in all aspects from the screenplay to the art direction and film techniques this movie is trite below average and exploitative the acting is awful the plot is a refried dumb cliche of a lowbrow dumb horror movie there is no drama no comedy no horror nothing thats worth saving this movie conveys nothing of value it has zero emotion is not even so bad its entertaining its so bad is frustating and i wanted to honor the name and get out of the roommake no mistake this is even bad for the b movie category and the low budget slasher horror genre and that is saying something i see no other reason for the hype other than an obvious political agenda and that alone not be so terrible if the movie wasnt as bad as it is and its themes so shallow and mean spirited

this movie poses no debate and ask no questions worth considering it simply puts forward it racism and expects you to praise it for it which the acedemy seemed to do ive never been head over heels about the oscars but nominating this is a travesty even today it is ·number one or at least top five in movies of the decade list showing how journalists and professional critics are in a debacle and so badly disconnected from reality the audiences and moviemaking they basically get paid to make clowns of themselves give banal excuses to praise smut while they insult the audiences intelligences throwing around buzzwords and smug political slogans  becoming a satire of themselves",positive,8
408,408," so i had to see like everyone else and watched it around  months ago i was so bored and unimpressed with the movie i had to finish the last part another day i think its lazy slow sloppily written a poor job of making what should have been good instead its yet another movie like a few coughing others in which the movie is hailed as life changing because the director was african american and therefore needs to be praised and given trophies for doing nothing
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,2
409,409," i call it the worst my squeeze nicole and me were watching it and stopped she called it the opposite movie yes she is accurate by the way the nubile babe is hot she has those photos for research and not for love maga
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
410,410," this movie is pure gold it has nice twists works on deeper levels has some fascinating premises is acted well is original really really nice job

it is always nice to see movie with some twists and also those that give you some food for thought but sometimes the twists are for the twist sake this is not the case here everything makes sense and in more than one level the atmosphere of underlying racism is done in a way that makes people from across the world who did not have contact with usa slavery issues get good insight but the movie is so much more than this and will surprise you make you think and leave you intellectually and emotionally satisfied so few movies can do this as competently and decently as this one this is one smart movie
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
412,412," speaking as a white person

i never had such a laugh like this in a long time i thought it was different and unique in its own way a must see for white people brothers and any one else from any culture

surprised one person gave it such a low rating

this was a fun ride
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
413,413," i was very excited about this movie since it has a high score for being a horror movie and had good reviews and it had a great start it was unsettling and interesting but towards the end i realized that the plot sucks

its just so bad and unrealistic and stupid and just why it makes no sense which is a shame because it was a great start with good actors if they just had a more decent plot it would maybe deserve the rating it has maybe
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
416,416," something different here its quite a fun and entertaining watch as racial satire meets stepford wives when a black man goes to the burbs to meet his gfs white family he gets more than he bargained for something seems strange about all the black folks there sometimes the dialog is hard to catch unless you concentrate it all comes together quite nicely and the cast is good
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
417,417," i make it short and simple: this is not a good movie i read some of the reviews and some people didnt like because apparently they felt offended by it because there are white i dont feel offended at all i just felt bored confused at foremost not entertained the actors are good thats all i can give that film it wasnt funny wasnt scary or wasnt clever i just cant stand films that want to hit home a certain point which is clear after about  minutes into the film and then they just hammer home that point again and again and again this seems like it should be a short film of a film student because it feels so small and so amateurish
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
418,418," dont believe hype spoilers: ponderously slow movie where evil white people want to abduct black bodies  why they succumb to a multitude of medical problems as they age  boring tedious and a telegraphed ending that you must be in a coma not to figure out avoid at all costs
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
422,422," this is jordan peeles feature directorial debut and whats interesting here is that get out is uncharted territory for him as he comes from a comedic background but watching this movie it felt like hes been directing horror his whole life to put it simply the guy knocks it out of the park

its an artfully crafted and remarkably accomplished debut he exploits an atmosphere impregnated with tension and skillfully choreographs an escalation of unrelenting suspense and crowdpleasing thrills the camerawork was absolutely ingenious theres a scene involving hypnosis in particular that had my jaw hitting the floor i loved how they visually achieved that heightened state of suggestibility on a visual level

get out is as much satire as it is horror though and its most impressive feat is how masterfully it blends the two together i cant remember the last time i saw a movie that so seamlessly shifts from sequences of jubilant laughter to instances of insidious horror in a matter of minutes

writing satire is tough writing good satire is even tougher and writing good horrorsatire is as rare of a commodity as you get in the film industry these days to achieve this a film must have exquisite timing and nearprefect pacing which is exactly what get out has the runtime is  minutes yet it felt more like an hour i guess i got so invested in this engaging story that i lost all sense of time which is what you ultimately want in any movie really

daniel kaluuya showcases his acting chops with an impressive range of emotions its not necessarily what he says but what he doesnt say that has the biggest impact other standouts include allison williams bradley whitford and catherine keener id be remiss if i didnt mention comic lil rel howery who plays tsa agent rod aka the protagonists best friend hes definitely a scenestealer breaking the films uncanny tension with a number of gutbusting interludes

while get out sets out to mainly entertain and shock its also accompanied with some poignant social commentary it shines light on the aspect of ourselves that wed rather not acknowledge no matter how much we try to convince ourselves that were above implicit stereotyping or forming preconceptions we arent peele uses this unavoidable unflattering truth to draw out anxiety and then he uses that anxiety as fuel for the film itself

get out is one of the best movies to come out of  thus far i cant recommend it enough",negative,1
425,425," get out is an innovative and entertaining movie: a mix of comedy thriller horror dramatic grotesque noir sentimental and social satire that succeeds as a horror movie even without the use of monstrosity jump scare or blood but thanks to really disquieting shots and facial expressions that keep the viewer alert it is also a criticism of certain white people who voted for obama: this movie unveils a less cliche more politically correct and treacherous face of racism
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
427,427," get out was the most satisfying movie going experience ive had in a long time it delivers brilliantly and viscerally in just the way that you want a paranoid horror thriller to but it also raises some topical questions within its horror conventions without undermining the fun and thrills jordan peele definitely has a career ahead of him as a writerdirector with a clever approach and a singular voice and vision when it comes to genre material

the actors are uniformly excellent daniel kaluuya is crucial to establishing the reality of the situation he never overplays his character and you never catch him acting allison williams is a pleasant surprise id only known her from girls and she shows a whole new potential here lakeith stansfield is a star in the making its just that simple everything i see him in he is impressive the rest of the cast consists of some of the most reliable character actors working today including a personal favorite: stephen root in a very surprising role

get out will be a future classic you wont regret seeing it it has several levels and it works smartly on all of them",positive,9
429,429, after sitting through two and a third long hours of it recently being bored mostly by the predictable cgi and the usual jolts in todays so called horror films i just watched get out i wasnt expecting much as the dvd had  mediocre to awful previews but almost immediately i became intensely involved by the plot and quality of this film which mixes social satire and racial issues brilliantly this is not like most horror films today but rather more like suspense thrillers as the stepford wives the harvest or the tall man the scares are not like jolts but rather stem from the nervous feeling that kept me glued to the screen anxious to see what will happen next i just learned this was the directors first film though it seemed to have excellent production values and built suspense seamlessly i love stories where something strange is going on and the mystery is gradually revealed like the original invasion of the body snatchers or night of the living dead for those not looking for gore or shocks but rather suspense this should satisfy most of you but if special effects are your preference maybe stay away,positive,9
430,430," get out was written and directed by jordan peele and was his directorial debut and a hot item on his resume it is too

daniel kaluuya sicario plays africanamerican chris washington who nervously takes a trip upstate to meet the parents of his cute white girlfriend rose allison williams the parents dean bradley whitford best known as josh lyman from the west wing and missy catherine keener  captain phillips are extremely welcoming

but the weekend coincides with an annual gathering of family and friends and events quickly take a left turn into the twilight zone with antismoking hypnosis and a bizarre game of bingo where the win is so substantial that playing becomes a no brainer can chris get out with his mind still intact before its too late

this is a really clever script by peele the film baits you into thinking this is some redneckinterracialrevenge flick but actually the colour of the skin is almost irrelevant or is it this angle is left deliciously vague some of the filming is spectacularly creepy with the hypnosis scene being reminiscent to me of the excellent under the skin and never has a teaspoon in a cup of tea been a more devastating weapon

i seemed to have talked at length this year in this blog on the subject of the physics of horror: the story elements hanging together in a satisfying – albeit sometimes in an unbelievable – way get out delivers this to perfection keeping its powder dry until the closing moments of the film before delivering a series of satisfying ah relevatory moments

while the physics of the film is good the biology is bonkers featuring a plot point from the terrible first episode of the rd season of the original star trek if you can be bothered to look that up but ill forgive this parking my incredulity to salute what i think is one of the years most novel and impressive lowbudget indie horror films

for the graphical version please visit http:bobthemoviemancom or one manns movies on facebook thanks",positive,9
431,431," i finally got around to watching this movie after reading the raving reviews and hearing the hype i was ready to see a good horror flick boy was i disappointed this is neither a horror movie or worth watching the weak plot is predictable from  minutes into the movie the acting is b movie quality but barely the written dialog feels like it was written right before a high school freshman english class by a c student who forgot to do their homework calling this a horror movie is an insult to the genera jordan peele needs to stick to being a nd rate chappelle and be happy they pay him to do that so called comedy and leave the movie making to the professionals dont waste your time with this movie
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
432,432," some people go to the movies for escapism  for a diversion a welldeserved break from real life then there are those who frequent the cinema for elucidation of deeper truths or explication unpacking sociopolitical concerns of the time somehow somewhat amazingly comedy veteran jordan peele has crafted a film perfectly geared to appeal to either camp  and as his directorial debut to boot get out is an unforgettable cinematic experience tackling subtext almost eerily prescient in the wake of raciallymotivated hate crimes rallies and dangerously escalating discrimination both explicit and pervasively subtle but lest prospective viewers pass it by as a soapbox diatribe peele opts to frame his discourse through an ingeniously undidactic psychological horror genre lens think the stepford wives crossed with guess whos coming to dinner thrown into a hitchcockian psycho blender and churned with a table saw its fiendishly eloquent but almost outlandishly absurdist and it may be the most clever bonkers nailbiting irreverently ingenious and grimly fun time at the movies this year

if that sounds like a confusing cocktail of diametrically opposed elements it is yet somehow peele shakes stirs and serves the perfect filmic entrée disguised as an aperitif its rollercoaster ride of emotions and response somehow working seamlessly as an ingeniously homogeneous film social satire and the horror genre have long gone hand in hand in fact we all go a little mad sometimes could practically serve as the tagline for the movie that is   but peele finds that true horror lies in the crushing weight of raciallymotivated microaggressions sprinkled out by the caste of sometimes wellintentioned nouveauliberals doing their best to counteract privilege by being a little too earnest in telling the only african american in the room that they wouldve voted for obama for a third term if they could peeles satire may be barbed  perhaps too much so not to hit a nerve for some audiences  but its teeth are razor sharp capturing the intricacies of moments of discomfort almost imperceptible apart from those experiencing them in both hysterical and cringeworthy detail his airtight script is succinct but extraordinarily precise with dialogue rife with clever wordplay watch for all of the seemingly innocent inclusions of the word black in innocuous conversation and coy foreshadowing so intricate the film practically necessitates repeat viewings to drink it all in

and just when youre engrossed in cackling and cringing under your breath at the savage act  satire peele cordially reminds you that youre here watching a horror film  and hits you with no holds barred of course hes never fully let you fully forget it with a chillingly surreal prologue and poetic flourishes sneakily maintaining a mood of general unease protagonists chris and rose hit a deer on the way to visiting her parents in the countryside some of these are artsy piece of tonesetting foreshadowing some are playful red herrings some are both with enough narrative bread crumbs scattered to elicit some painful i shouldve known facepalming in the third act for all but the most eagleeyed viewers and none are extraneous all firmly in service of forwarding both the films horror tropes and reallife horror intertexts in equal grim measure case in point: the sunken place  a bout of hypnosisparalysis chris is subjected to that has the film at its most claustrophobically terrifying while also providing a crushingly perfect metaphor for feeling consistently beaten down and repressed in a closeted discriminatory culture

as things take an increasingly chilling turn for the macabre and peeles pitchperfect pacing stews tension to a frantic fever pitch with the effortless nonchalance of a seasoned veteran get outs ultimate rather sordid gag is how easy it is to miss the forest for the trees we find ourselves tempted alongside chris to write off his spinetingling experiences as paranoia or the film artistically extrapolating on the experience of racial discrimination when the reality could simply be that things are in fact so much worse than the fears a lifetime of living in polite society has taught him to dismiss as overzealous the realization starts witty then becomes almost overwhelmingly sobering and theres the definitive microcosmic distillation of the films audience experience as a whole

daniel kaluuya gives an outstanding performance as chris establishing a baseline of perfectly affable nonchalance to make the rawness with which he radiates horror at the indignities hes increasingly subjected to all the more harrowing still kaluuyas work is too sophisticated for rote final girl horror reactions and a couple of leftturn character choices skirting obvious hollywood moral choices keep chris enigmatic enough to remain compelling throughout allison williams is equally terrific perfecting a peppy charisma with just enough of a highlystrung edge to ensure she equally dodges cliché throughout catherine keener and bradley whitford embody that particular strain of friendliness that is somehow icier and more imperious with every smile to almost unnerving effect while lilrel howery is reliably hilarious pulling doubleduty as the films bombastic comic relief and incredulous moral centre finally caleb landry jones infuses his inherent slithering creepiness into a drunken jock archetype to perfectly unnerving effect while stephen roots warm eloquence provides a welcome foil to the tonedeaf effete posturing threatening to suffocate chris

if ever there were a single film to distill the madness of the sociopolitical climate of the past year and make sense of it with acid wit and worldweary humour its peeles unforgettable get out its psychological horror film as inventive and groundbreaking as it is sadistically playful its an unnervingly timely walloping deconstruction of the intimate intricacies of privilege and prejudice for the im not racist but crowd in short prospective viewers would do well to follow the advice of its title  get out of your house routine deeply entrenched mindset and drink in what hindsight will invariably decree the most illustrative and fiendishly enjoyable film of the year

",positive,7
433,433," rant begins

its really interesting to me that people are getting triggered and claiming that the movie is extremely racist or something when rose says that her father will vote obama for rd time she is not trying to deceive chris these people arent thinking black people as beneath them every one of them envies a different point of them one of them thinks they are fast one thinks they are cooler in this modern age etc the point is these people are not neonazis or white supremacists these people are liberals who would actually vote for obama again what this movie criticize is liberal people who when trying to be liberal to black people make things worse im no way claiming that all liberals are like thatobviously as i am white liberal person but yeah

rant ends

the premise of the movie could be better as there was no need to bring science fiction stuff they couldve just rolled with the lets make them slaves by hypnotism because i mean brain exchange didnt really add something to story other than unrealism saying that there was a huge tension until the later parts of the movie and there was a certain sickness if i had to say i mean psychological aspect of the movie really creeped me out

in summary it was an amazing movie who combined horrorcomedythriller into it and did it well",negative,1
435,435," i loved this movie this year has been full of sht i have seen very few movies this year that made me walk out of the theatre with a smile on my face the only movies i have seen this year that i really loved are split logan and get out

this movie perfectly combines horror comedy and social commentary and it is the good kind of social commentary because its not just saying some stupid sht about how racist we are it actually makes you think and provides some very interesting ideas that really enrich the experience

the performances are all great the main actor was great in this film like he was in black mirror and in sicario the rest of the actors also did a very good job and the comic relief character was hilarious i laughed every time that dude was on screen

the horror or thriller aspect of this movie was great there were many scenes in which i was hugging the arm rest out of anxiety the whole purpose that this whitefolks have with chris actually terrified me the only bad thing about the horror is that this movie actually uses the someone passed through the hallway and the score becomes loud for a second which is really cheap

the comedy was also pretty good the director understood that this whole idea had some level of absurdity to it so he used that to the advantage of the film and created some scenes in which the whole movie theatre was bursting with laughter i believe that the movie handled pretty well the transitions between the horror and the comedy

the social commentary is also pretty good it talks about a whole other level or racism one in which the characters have passiveaggressive racism i thought that it really enriched the movie experience

the whole tone and feeling of the movie is great you feel awkward when the character feels awkward and scared when he is scared

the score and cinematography are great and really made this movie have a much cooler style

also the movie had quite a lot of metaphors and symbols

definitely go support this movie it is really a unique and fun experience",positive,10
436,436," get out is a superb piece of horror with sharp sometimes funny and always interesting social commentary that walks the line between classic horror conventions and a modern revitalised genre form perfectly its an excellent debut from jordan peele who moulds his clever tale together with a great cast interesting camerawork and a welcome dose of heavy tension and menace

first of all go see this film as blindly as you can teaser trailers are acceptable anything else could ruin or spoil the moment i made the effort to go in relatively blind through part laziness and part active ignorance avoiding critics reviews and switching off the radio if people started talking about it the premise alone should be enough to interest most people and peeles name attached to the writing and directing should be able to persuade most sceptics that said whether you like or dislike horror make the time for this one

the cast is all around excellent though special praise must go to daniel kaluuya who despite the temptations of genre keeps his acting naturalistic completely believable and watchable catherine keener and bradley whitford also deserve special mentions for their parts as do marcus henderson and betty gabriel for their creepy turns peele doesnt let the cast carry the film however with some interesting creative and above all else unnerving camerawork and great writing throughout lest we forget that peele wrote directed and produced this

beyond everything peele has succeeded in balancing the genre demands of his piece with the social commentary he puts forth there is a danger with any horror film that the social issues at hand overwhelm the story or that the story and plot dampen any wider concerns to nearly nothing there is interesting and at times genuinely uncomfortable moments created by the issues our main character faces and situations he deals with peele has got the balance spot on and the film is also helped by moments of well timed comic relief

debuts are always a double edged sword which half the time leave you feeling underwhelmed and the other half overwhelmed setting up inevitable disappointments for whatever follows up peele has proved himself a skilled and inventive director who can tackle complex and fascinating subject matter in a horrific fashion as much as he can in his comedy he has said he has many more stories of social demons to come over the next ten or so years i am looking forward to them already",positive,8
438,438," i decided to go watch the movie after i saw the high reviews about it and when i went to the theater i was ultimately enjoyed everything about the movie is amazing  interesting and exciting from the very beginning you can feel the strange setting  the strange reactions from the white family you feel that theres something wrong and this makes you more concentrated in the movie and not feeling bored at all the movie really takes you from the very beginning and i like that kind of movies which has fast temp then the second part of the movie when everything is revealed you can sympathize with the hero as if youre him  you really feel sorry for him  you feel like you really want to help and that makes you more concentrated and following the afterwards scenes where you need to know more and keep thinking how he will react to his situations what will happen next and all that sort of questions keep coming on your mind

in the end you can see all the pieces of the puzzle coming together and you began to connect the scenes with themselves

on the other hand and in spite of that this movie is a horror movie but there is a very high comedy scenes in the movie that would really make you laugh so loud and this was very very very interesting

i really enjoyed the whole movie and im really so thankful to the writer  director jordan peele because he really made my day and because this is the best movie so far in  really i do appreciate his hard work and im really looking forward to all his next projects

last thing i gave it  out of  just because i wished if the movie could tell us more about the stories of the other victims  this depends on the viewers some people like it to be left like that for our imaginations and some people like me love it when more details in more scenes are shot and added to the movie 

go watch get out all the people",positive,8
440,440," get out is the directorial debut by comedian jordan peele from the comedy central show key and peele as well as mad tv unlike his work that i previously mentioned this is a horror film so it was really interesting to see what he would do with this movie

so whats the story chris played by daniel kaluuya goes on a trip with his girlfriend rose to meet her parents only thing is he is black and her parents are from a rural suburb and hes worried they wont care for them being in an interracial relationship at first everything seems okay the parents welcome chris in open arms however the longer they are at this meet the parents trip things become stranger and stranger as the parents gradually begin acting more sinister and hostile and every person that works at this house is black further adding to the creepiness of this whole situation

lets talk about the dialogue in this movie every single word that is said has some sort of meaning and commentary behind it if you watch the trailers youll see the dad using stereotypical black slang and accents when speaking to chris in an effort to relate to him every one is trying insanely hard to prove that they arent racist and many other things that make the viewer feel more uneasy the more they talk

the good thing is the subtext in this movie isnt completely reliant on dialogue the tvs look very much like the old style ones from the s the architecture of the house is colonial style like a plantation home and so much detail put in this movie that its insane you really get the feeling that jordan peele put a lot of effort and care into crafting this insane horrific world

also the pacing is very well done it starts off fairly relaxed not boring just relaxed then the further the movie goes along the more intense it gets the film lulls you in such a way that you dont even notice how drastically the tone changes over time until the movie is over and you realize youve been on the edge of your seat for over  minutes

despite the film being an extremely intense experience jordan peele does manage to sprinkle in some of his special brand of humor when the tension needs to ease up at times there were times when i would be scared out of my mind and then in the very next scene id be rolling in my seat laughing

you might take a look at this and think if youre a white person man i dont wanna watch this movie i dont wanna feel like some monster simply cause im white and to that i say get over yourself just because some white people suck doesnt automatically mean you do with that being said this movie takes a subject that can be very divisive and uses carefully crafted suspense blended with humor to bring the viewer in who may have an entirely different background from the main character as far as race relations go and generate sympathy for problems one may not have to deal with on a regular basis me personally im a white man from a rural southern suburb in a predominantly white town and unfortunately i have encountered many people with racist attitudes in my lifetime and yet i didnt feel attacked for my background or anything like that

while i did mention everything having a purpose and extreme attention to detail there are certain parts that while scary at the time dont really have a lasting impact on the story as a whole the thing is though this is something you dont realize until youre in the car on your way home and you think to yourself wait a second really thats my only knock about this movie the story is intriguing the dialogue and scenery are rich with social commentary its well paced just certain things dont really pay off as well as they could from time to time go see this movie if you consider yourself a horror fan you owe it to yourself to see this movie especially since good horror is in such short supply recently

and im gonna give get out a 

for other reviews like the one you just read check out my channel on youtube i review every movie i see wwwyoutubecomjhiggs ",positive,9
441,441," jordan peeles first feature film offers a worryingly bleak reflection of race relations segregation and stereotyping in what will undoubtedly be one of s most troubling and terrifying films a psychological thriller dressed up as classic horror the sense of impending doom created right from the off  with an african american man walking through a white suburban neighborhood at night  leaves you with a sense of dread but also numbness and to an extent helpless voyeurism

though preposterous at times the twists and turns taken and sometimes alluded to but then swiftly negated do leave you guessing as to a potential solution to the many problems presented to both our main character chris brilliantly played by daniel kaluuya and best friend rod lil rel howery both of whom appear to represent specific  yet broad  archetypes of modern day black men in america the overall eeriness and gloom of peeles film is sometimes  intentionally undercut by the voices of certain characters for comedic effect yet this could be seen as another very real world commentary on the rubbishing of institutionalized racism which is still so prevalent in modern day society whilst not perfect get out is a bold daring and unflinching portrait of the st century racial landscape",negative,1
442,442," the expectancy dead try to be terror or comedy it can not get either the movie is simplistc leftwing positioning: black is strong beautiful good people and victims white is weak ugly treacherous and exploiters simplistic and unhappy view it could have been deeper and a little less prejudiced however from a stereotyped political view one could not expect anything else
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
443,443," its been about one whole year since jordan peeles get out was unleased onto cinemas and ive only just managed to see it i call myself a seasoned horror fan but why on earth did it take me so long to see a fourtime oscar nominated horror film you know it has to be special when the academy who famously shun all genre movies consider giving it a gong for best picture after all get out is the first allout horror film to be nominated in the category since the exorcist in  unless you decide to count the likes of black swan and the silence of the lambs which have elements of horror but are no where near as obvious as this film

is it all that superior then personally i think weve seen better recently in films such as the witch and it follows but theres no denying that its a cut above the rest its certainly far more intelligent than most films nowadays which the academy miraculously realised after awarding it an oscar for best original screenplay last night it follows black british star daniel kaluuya as he goes to meet his white girlfriends parents at their large middleclass home everything seems fine a first but gradually things start to take a sinister turn as some very white guests arrive and seem to almost close in on our black hero to say anything else would be to ruin the terrific surprises in store i went in knowing almost nothing about the plot and was certainly all the better for it

get out takes a simple horror movie premise and turns it into a thoughtful and scarily plausible satire about racism whats nice is that it doesnt shove it down our throats in a hamfisted way like say mother which i loved i must say but theres stuff for keener viewers to dig in to it never patronises its audience and is always interested in building up a sense of paranoia and suspense around a likable protagonist who we can all root for it also manages to provide an exciting third act which manages to satisfy and thrill in equal measure

its difficult to believe that this is jordan peeles debut film the technical competence is pretty outstanding although he has had plenty of experience starring in film and tv before so he mustve learned something about being behind the camera whilst being in front of it he shows great flair and vision behind the camera always remaining focused and expertly building tension where most directors would go in for the heavyhanded approach peele uses subtlety and restraint even the barmy revelation is presented with such confidence that you dont doubt the logic for a second

get out might not be the groundbreaking classic you were hoping for but its certainly a fine horror film with enough comedy to comfortably cleanse your pallet despite always having its tongue in cheek it carries an important message about liberal racism and does an excellent job at making the audience feel what its like to be a black man in modern america the ending perhaps couldve been less predictable and convenient but get out offers plenty of hidden riches in repeated viewings",positive,9
444,444," i dont know why people thought this movie was going to be racist its a great movie jordan peele has crafted a movie so complexly amazing that it kept me on the edge of my sit the whole time it keeps you guessing throughout the movie of what is going to happen next and it might prove you wrong it definitely gets  stars or 
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
445,445," let me just start out by saying that i am going to be a little biased about the racist twist to it belonging to a untouchable hierarchy in the hindu system of race just wikipedia the varna hinduism if you want to learn more anyways the plot was intriguing and gripping the actors played out well the character development was superb the ending was too pleasing to be real although i must say i enjoyed every bit of it i must also admit it was a bit racist though but i can understand  the intended purpose for it go watch it leaving aside the racist tone that it surely has it wont let you down  for me easily
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
446,446," in an era where actual good horror movies are pretty rare get out gives me a little hope that this genre isnt dead just yet this isnt just another series of jump scares with terrible acting and a stale plot this movie doesnt make you jump it will genuinely make you feel uncomfortable for the most part ill be honest this is one of the only horror movies that actually made me feel sick because of how creepy and uncomfortable it is to watch the first two acts are great and very well written but the third act and the ending are both a little silly and dont seem to fit with the rest overall though get out is certainly a must watch for horror fans or people who just want to watch something different oh and daniel kaluuya is fantastic
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,7
447,447," the old and modern crime in well directed film i was just wondering in ineptionlike this movie will like some ghostly and like thatbut it is really uniqueand breathtaker movietruely one of bst thriller
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,7
448,448," the best movie i have seen in a while mind blowing great acting i was shaking
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
449,449," i went into this movie excited but hesitant because of it being directed by a comedian

this is not a cheap spoof movie

this movie is unique unlike most horror movies nowadays there is suspense mystery violence and thought compelling moments

it is legitimately scary while facing cultural issues in america today

you wont find any cliché ghosts or haunted objects in this movie

instead you will get an enjoyable experience of trying to figure out what is really going on and who is who they say they are

by the climax of the movie i found myself truly impressed with how absolutely brutal it became

top notch horror movie",positive,8
451,451," plot was terrible just another white people are bad with a science fiction twist im not sure who these films appeal to really wish i could have that  hour and a half of my life back this film doesnt make you think or expand on any critical thinking its just plain bad

acting was ok scenery was ok no notable lines
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
453,453," a film that takes you to the roller coaster ride of lightness and darkness get out is strongly edited yet beautiful piece of work a simple story as it seems in starting minutes is whole dark until itss end

plot: rose armitage  allison williams takes her boyfriend chris washington daniel kaluuya for a weekend her home all things slowly starts to go haywire for chris as he meets roses family

coming to the actors everything was great although daniel seemed a bit meh in a starting scenes but till the end he was at his best he truely deserved a nominations this year marcus handerson in his small role was effective so all the actors

best thing about the movie was its of background score specially during the starting sequence

i will simply rate this movie  on  for its effective direction strong writing and acting performances",positive,7
454,454," this film tells the story of a african american man who travels to see his caucasian girlfriends parents in their house in the countryside though they seem to profusely welcome him there is something not right about the whole setup soon his hunch turns into a deadly reality

get out has a rather slow pacing to start with as the story develops and the stage is set the racial topic is brought up a little to often to be comfortable but soon the reason for these strange encounters become apparent the story is thrilling and there is quite a bit of mystery in the film the ending is unnerving and unexpected the audience were very engaged with the film gasps and applause were quite frequent towards the ending climax it is an enjoyable thriller
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,7
455,455," a reality check of mine is always: how does x or y sound when a religion or race in the statementbookmovie is reversed this film could not have been made if the black hero had been white and the white villains had been black it is so stereotyped dont get me wrong it was an intelligent film and a deep deserved critique of our modern society it was wellfilmed and a good watch throughout its just: leni riefenstahl also made a cinematically good documentary about some or the other nazi olympic games and that is rightly denounced as being racist this film is a leni riefenstahl only it has the white guys in the stereotypical villain role and suddenly its all okay were allowed to be racist about white people and call it art uhuh a good film i enjoyed it but: no deeply disturbing and racist
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
457,457, i surprisingly liked this movie a lot more than i thought i would i knew from the clips and trailers i have seen that it was going to be well done and well acted and it was especially from daniel kaluuya superb acting even a lot of the smaller characters had certain moments where they shined it won the best screenplay award so i had that in mind while watching and i have to agree it was great the story grabs you from the start kept you on the edge of your seat wondering what the heck is going on but dont get me wrong its not action packed its a slow burn mind game and it was pretty fun trying to figure it all out dont watch clips or trailers it was nice going in not knowing much it was rated r because the story needed it to be not just because it wanted to be which i always appreciate the soundtrack was pretty cool but not that unique for this type of movie the directing was pretty great and the story was told very well you may be asking yourself why is chris surprised he liked it is it cause its about black people made by black people and hes racist and doesnt think black people can make good movies uh no ha thats what the social justice warriors want you to think which is exactly why i was surprised i liked it i feel like the oscars and lots of the media praised this movie so much and acted like it was the best movie of our generation and acted like it was so important for black people it made me think it was going to be filled with political and racist preaching but i watched it with an open mind and it wasnt like that i know it had metaphors and other things throughout but it wasnt in your face or preachy it was just a good thriller that you can either take at face value and enjoy or you can think really deep about and get social issues it lets you have that choice thats what surprised me and im glad so if you want a good thriller with twists and what the hecks or if youre racist against white people and want to see them get it get out is the film for you,positive,10
